"UID","Study","Location","Sex","Age","Trial","Odor","Forced"
"F_19","Field","Borough","Male","Under_50",2,"garlic","garlic"
"F_19","Field","Borough","Male","Under_50",3,"rose","vanilla"
"F_19","Field","Borough","Male","Under_50",4,"peppermint","menthol"
"F_19","Field","Borough","Male","Under_50",5,"fish","fish"
"F_20","Field","Tate","Male","Under_50",1,"rose","rose"
"F_20","Field","Tate","Male","Under_50",2,"peppermint","peppermint"
"F_20","Field","Tate","Male","Under_50",3,"garlic","leather"
"F_20","Field","Tate","Male","Under_50",4,"fish","fish"
"F_20","Field","Tate","Male","Under_50",5,"orange","chewing gum"
"F_20","Field","Southwark","Male","Under_50",1,"rose","rose"
"F_20","Field","Southwark","Male","Under_50",2,"fish","nothing from list"
"F_20","Field","Southwark","Male","Under_50",3,"peppermint","chewing gum"
"F_20","Field","Southwark","Male","Under_50",4,"orange","lemon"
"F_20","Field","Southwark","Male","Under_50",5,"garlic","leather"
"F_20","Field","Borough","Male","Under_50",1,"rose","rose"
"F_20","Field","Borough","Male","Under_50",2,"fish","leather"
"F_20","Field","Borough","Male","Under_50",3,"orange","peppermint"
"F_20","Field","Borough","Male","Under_50",4,"garlic","glue"
"F_20","Field","Borough","Male","Under_50",5,"peppermint","chewing gum"
"F_21","Field","Tate","Male","50+",1,"orange","blackcurrant"
"F_21","Field","Tate","Male","50+",2,"fish","fish"
"F_21","Field","Tate","Male","50+",3,"rose","rose"
"F_21","Field","Tate","Male","50+",4,"peppermint","peppermint"
"F_21","Field","Tate","Male","50+",5,"garlic","garlic"
"F_21","Field","Southwark","Male","50+",1,"rose","rose"
"F_21","Field","Southwark","Male","50+",2,"orange","orange"
"F_21","Field","Southwark","Male","50+",3,"fish","glue"
"F_21","Field","Southwark","Male","50+",4,"garlic","garlic"
"F_21","Field","Southwark","Male","50+",5,"peppermint","peppermint"
"F_21","Field","Borough","Male","50+",1,"peppermint","peppermint"
"F_21","Field","Borough","Male","50+",2,"garlic","garlic"
"F_21","Field","Borough","Male","50+",3,"orange","chewing gum"
"F_21","Field","Borough","Male","50+",4,"rose","rose"
"F_21","Field","Borough","Male","50+",5,"fish","fish"
"F_22","Field","Tate","Female","50+",1,"rose","rose"
"F_22","Field","Tate","Female","50+",2,"fish","fish"
"F_22","Field","Tate","Female","50+",3,"orange","pickle"
"F_22","Field","Tate","Female","50+",4,"peppermint","aniseed"
"F_22","Field","Tate","Female","50+",5,"garlic","garlic"
"F_22","Field","Southwark","Female","50+",1,"rose","rose"
"F_22","Field","Southwark","Female","50+",2,"garlic","onion"
"F_22","Field","Southwark","Female","50+",3,"fish","fish"
"F_22","Field","Southwark","Female","50+",4,"orange","cherry"
"F_22","Field","Southwark","Female","50+",5,"peppermint","peppermint"
"F_22","Field","Borough","Female","50+",1,"peppermint","peppermint"
"F_22","Field","Borough","Female","50+",2,"garlic","garlic"
"F_22","Field","Borough","Female","50+",3,"orange","cinnamon"
"F_22","Field","Borough","Female","50+",4,"rose","rose"
"F_22","Field","Borough","Female","50+",5,"fish","fish"
"F_23","Field","Tate","Male","50+",1,"rose","coffee"
"F_23","Field","Tate","Male","50+",2,"orange","aniseed"
"F_23","Field","Tate","Male","50+",3,"fish","fish"
"F_23","Field","Tate","Male","50+",4,"peppermint","menthol"
"F_23","Field","Tate","Male","50+",5,"garlic","garlic"
"F_23","Field","Southwark","Male","50+",1,"rose","cherry"
"F_23","Field","Southwark","Male","50+",2,"garlic","garlic"
"F_23","Field","Southwark","Male","50+",3,"fish","fish"
"F_23","Field","Southwark","Male","50+",4,"orange","chives"
"F_23","Field","Southwark","Male","50+",5,"peppermint","none"
"F_23","Field","Borough","Male","50+",1,"garlic","garlic"
"F_23","Field","Borough","Male","50+",2,"peppermint","smoke"
"F_23","Field","Borough","Male","50+",3,"rose","vanilla"
"F_23","Field","Borough","Male","50+",4,"orange","liquorice"
"F_23","Field","Borough","Male","50+",5,"fish","fish"
