"Study","UID","Location","Age","Sex","Trial","Odor","Free"
"Field","F_17","Tate","Under_50","Female",4,"garlic","garbage"
"Field","F_17","Tate","Under_50","Female",5,"rose","melon"
"Field","F_17","Southwark","Under_50","Female",1,"garlic","none"
"Field","F_17","Southwark","Under_50","Female",2,"peppermint","mento"
"Field","F_17","Southwark","Under_50","Female",3,"fish","fish"
"Field","F_17","Southwark","Under_50","Female",4,"orange","pineapple"
"Field","F_17","Southwark","Under_50","Female",5,"rose","rose water"
"Field","F_17","Borough","Under_50","Female",1,"peppermint","rose"
"Field","F_17","Borough","Under_50","Female",2,"garlic","garlic"
"Field","F_17","Borough","Under_50","Female",3,"rose","rose"
"Field","F_17","Borough","Under_50","Female",4,"fish","none"
"Field","F_17","Borough","Under_50","Female",5,"orange","none"
"Field","F_18","Tate","50+","Female",1,"garlic","none"
"Field","F_18","Tate","50+","Female",2,"peppermint","peppermint"
"Field","F_18","Tate","50+","Female",3,"rose","rose"
"Field","F_18","Tate","50+","Female",4,"orange","orange or bergamot"
"Field","F_18","Tate","50+","Female",5,"fish","amonia"
"Field","F_18","Southwark","50+","Female",1,"orange","lemon"
"Field","F_18","Southwark","50+","Female",2,"peppermint","menthol"
"Field","F_18","Southwark","50+","Female",3,"rose","rose"
"Field","F_18","Southwark","50+","Female",4,"fish","none"
"Field","F_18","Southwark","50+","Female",5,"garlic","onion"
"Field","F_18","Borough","50+","Female",1,"orange","orange"
"Field","F_18","Borough","50+","Female",2,"peppermint","peppermint"
"Field","F_18","Borough","50+","Female",3,"garlic","onion"
"Field","F_18","Borough","50+","Female",4,"fish","none"
"Field","F_18","Borough","50+","Female",5,"rose","rose water"
"Field","F_19","Tate","Under_50","Male",1,"orange","lemon"
"Field","F_19","Tate","Under_50","Male",2,"garlic","none"
"Field","F_19","Tate","Under_50","Male",3,"fish","not good smell, something I don't like"
"Field","F_19","Tate","Under_50","Male",4,"peppermint","menthol"
"Field","F_19","Tate","Under_50","Male",5,"rose","nice smell, perfume, something like vanilla, banana"
"Field","F_19","Southwark","Under_50","Male",1,"peppermint","menthol"
"Field","F_19","Southwark","Under_50","Male",2,"fish","no smell"
"Field","F_19","Southwark","Under_50","Male",3,"orange","lemon, chewing gum"
"Field","F_19","Southwark","Under_50","Male",4,"rose","like vanilla/lavender"
"Field","F_19","Southwark","Under_50","Male",5,"garlic","none"
"Field","F_19","Borough","Under_50","Male",1,"orange","I liked it; close to lemon"
"Field","F_19","Borough","Under_50","Male",2,"garlic","garlic"
"Field","F_19","Borough","Under_50","Male",3,"rose","I like it; like fresh bed linen"
"Field","F_19","Borough","Under_50","Male",4,"peppermint","menthol"
"Field","F_19","Borough","Under_50","Male",5,"fish","fish"
"Field","F_20","Tate","Under_50","Male",1,"rose","fruity flower, iris"
"Field","F_20","Tate","Under_50","Male",2,"peppermint","minty/menthol"
"Field","F_20","Tate","Under_50","Male",3,"garlic","uncomfortable rubber/leather"
"Field","F_20","Tate","Under_50","Male",4,"fish","uncomfortable, bad, oily"
"Field","F_20","Tate","Under_50","Male",5,"orange","chewing gum, sweet perfume fruity"
"Field","F_20","Southwark","Under_50","Male",1,"rose","rose"
"Field","F_20","Southwark","Under_50","Male",2,"fish","none"
"Field","F_20","Southwark","Under_50","Male",3,"peppermint","chewing gum, cinnamon"
"Field","F_20","Southwark","Under_50","Male",4,"orange","lemon"
"Field","F_20","Southwark","Under_50","Male",5,"garlic","leather"
"Field","F_20","Borough","Under_50","Male",1,"rose","rose"
"Field","F_20","Borough","Under_50","Male",2,"fish","awful"
"Field","F_20","Borough","Under_50","Male",3,"orange","peppermint"
"Field","F_20","Borough","Under_50","Male",4,"garlic","industrial glue"
"Field","F_20","Borough","Under_50","Male",5,"peppermint","chewing gum"
"Field","F_21","Tate","50+","Male",1,"orange","sweet like apple"
"Field","F_21","Tate","50+","Male",2,"fish","fish"
"Field","F_21","Tate","50+","Male",3,"rose","rose"
"Field","F_21","Tate","50+","Male",4,"peppermint","peppermint"
"Field","F_21","Tate","50+","Male",5,"garlic","smokey"
"Field","F_21","Southwark","50+","Male",1,"rose","rose"
"Field","F_21","Southwark","50+","Male",2,"orange","orange"
"Field","F_21","Southwark","50+","Male",3,"fish","glue"
"Field","F_21","Southwark","50+","Male",4,"garlic","garlic"
"Field","F_21","Southwark","50+","Male",5,"peppermint","peppermint"
"Field","F_21","Borough","50+","Male",1,"peppermint","peppermint"
"Field","F_21","Borough","50+","Male",2,"garlic","garlic"
"Field","F_21","Borough","50+","Male",3,"orange","lemon"
"Field","F_21","Borough","50+","Male",4,"rose","rose"
"Field","F_21","Borough","50+","Male",5,"fish","fish"
"Field","F_22","Tate","50+","Female",1,"rose","rosewater"
"Field","F_22","Tate","50+","Female",2,"fish","seafood"
"Field","F_22","Tate","50+","Female",3,"orange","pickle"
"Field","F_22","Tate","50+","Female",4,"peppermint","aniseed"
"Field","F_22","Tate","50+","Female",5,"garlic","mustard"
"Field","F_22","Southwark","50+","Female",1,"rose","rose"
"Field","F_22","Southwark","50+","Female",2,"garlic","mustard"
"Field","F_22","Southwark","50+","Female",3,"fish","fish"
"Field","F_22","Southwark","50+","Female",4,"orange","sweet"
"Field","F_22","Southwark","50+","Female",5,"peppermint","peppermint"
"Field","F_22","Borough","50+","Female",1,"peppermint","peppermint"
"Field","F_22","Borough","50+","Female",2,"garlic","garlic"
"Field","F_22","Borough","50+","Female",3,"orange","sweet subtle spice"
"Field","F_22","Borough","50+","Female",4,"rose","rose"
"Field","F_22","Borough","50+","Female",5,"fish","fish"
"Field","F_23","Tate","50+","Male",1,"rose","arabica coffee; sweet"
"Field","F_23","Tate","50+","Male",2,"orange","herby, mint"
"Field","F_23","Tate","50+","Male",3,"fish","fish"
"Field","F_23","Tate","50+","Male",4,"peppermint","menthol"
"Field","F_23","Tate","50+","Male",5,"garlic","food, garlic"
"Field","F_23","Southwark","50+","Male",1,"rose","lipstick"
"Field","F_23","Southwark","50+","Male",2,"garlic","garlic"
"Field","F_23","Southwark","50+","Male",3,"fish","prawns"
"Field","F_23","Southwark","50+","Male",4,"orange","dill"
"Field","F_23","Southwark","50+","Male",5,"peppermint","butterscotch"
"Field","F_23","Borough","50+","Male",1,"garlic","garlic"
"Field","F_23","Borough","50+","Male",2,"peppermint","butterscotch"
"Field","F_23","Borough","50+","Male",3,"rose","lipstick"
"Field","F_23","Borough","50+","Male",4,"orange","none"
"Field","F_23","Borough","50+","Male",5,"fish","fish"
"Field","F_24","Tate","Under_50","Female",1,"rose","strong acid"
"Field","F_24","Tate","Under_50","Female",2,"orange","chewing gum"
"Field","F_24","Tate","Under_50","Female",3,"fish","fish"
"Field","F_24","Tate","Under_50","Female",4,"garlic","chinese food, onion"
"Field","F_24","Tate","Under_50","Female",5,"peppermint","mint"
"Field","F_24","Southwark","Under_50","Female",1,"fish","fish"
"Field","F_24","Southwark","Under_50","Female",2,"rose","rose"
"Field","F_24","Southwark","Under_50","Female",3,"orange","chewing gum"
"Field","F_24","Southwark","Under_50","Female",4,"peppermint","peppermint"
"Field","F_24","Southwark","Under_50","Female",5,"garlic","onion"
"Field","F_24","Borough","Under_50","Female",1,"orange","vanilla ice cream"
"Field","F_24","Borough","Under_50","Female",2,"garlic","onion"
